Percentage,GradePoints,Grade,,,,
1.35,0,F,,,,
1.36,0,F,,,,
1.37,0,F,,,,
1.38,0,F,,,,
1.39,0,F,,,,
1.4,0,F,,,,
1.41,0,F,,,,
1.42,0,F,,,,
1.43,0,F,,,,
1.44,0,F,,,,
1.45,0,F,,,,
1.46,0,F,,,,
1.47,0,F,,,,
1.48,0,F,,,,
1.49,0,F,,,,
1.5,0,F,,,,
1.51,0,F,,,,
1.52,0,F,,,,
1.53,0,F,,,,
1.54,0,F,,,,
1.55,0,F,,,,
1.56,0,F,,,,
1.57,0,F,,,,
1.58,0,F,,,,
1.59,0,F,,,,
1.6,0,F,,,,
1.61,0,F,,,,
1.62,0,F,,,,
1.63,0,F,,,,
1.64,0,F,,,,
1.65,0,F,,,,
1.66,0,F,,,,
1.67,0,F,,,,
1.68,0,F,,,,
1.69,0,F,,,,
1.7,0,F,,,,
1.71,0,F,,,,
1.72,0,F,,,,
1.73,0,F,,,,
1.74,0,F,,,,
1.75,0,F,,,,
1.76,0,F,,,,
1.77,0,F,,,,
1.78,0,F,,,,
1.79,0,F,,,,
1.8,0,F,,,,
1.81,0,F,,,,
1.82,0,F,,,,
1.83,0,F,,,,
1.84,0,F,,,,
1.85,0,F,,,,
1.86,0,F,,,,
1.87,0,F,,,,
1.88,0,F,,,,
1.89,0,F,,,,
1.9,0,F,,,,
1.91,0,F,,,,
1.92,0,F,,,,
1.93,0,F,,,,
1.94,0,F,,,,
1.95,0,F,,,,
1.96,0,F,,,,
1.97,0,F,,,,
1.98,0,F,,,,
1.99,0,F,,,,
2,0,F,,,,
2.01,0,F,,,,
2.02,0,F,,,,
2.03,0,F,,,,
2.04,0,F,,,,
2.05,0,F,,,,
2.06,0,F,,,,
2.07,0,F,,,,
2.08,0,F,,,,
2.09,0,F,,,,
2.1,0,F,,,,
2.11,0,F,,,,
2.12,0,F,,,,
2.13,0,F,,,,
2.14,0,F,,,,
2.15,0,F,,,,
2.16,0,F,,,,
2.17,0,F,,,,
2.18,0,F,,,,
2.19,0,F,,,,
2.2,0,F,,,,
2.21,0,F,,,,
2.22,0,F,,,,
2.23,0,F,,,,
2.24,0,F,,,,
2.25,0,F,,,,
2.26,0,F,,,,
2.27,0,F,,,,
2.28,0,F,,,,
2.29,0,F,,,,
2.3,0,F,,,,
2.31,0,F,,,,
2.32,0,F,,,,
2.33,0,F,,,,
2.34,0,F,,,,
2.35,0,F,,,,
2.36,0,F,,,,
2.37,0,F,,,,
2.38,0,F,,,,
2.39,0,F,,,,
2.4,0,F,,,,
2.41,0,F,,,,
2.42,0,F,,,,
2.43,0,F,,,,
2.44,0,F,,,,
2.45,0,F,,,,
2.46,0,F,,,,
2.47,0,F,,,,
2.48,0,F,,,,
2.49,0,F,,,,
2.5,0,F,,,,
2.51,0,F,,,,
2.52,0,F,,,,
2.53,0,F,,,,
2.54,0,F,,,,
2.55,0,F,,,,
2.56,0,F,,,,
2.57,0,F,,,,
2.58,0,F,,,,
2.59,0,F,,,,
2.6,0,F,,,,
2.61,0,F,,,,
2.62,0,F,,,,
2.63,0,F,,,,
2.64,0,F,,,,
2.65,0,F,,,,
2.66,0,F,,,,
2.67,0,F,,,,
2.68,0,F,,,,
2.69,0,F,,,,
2.7,0,F,,,,
2.71,0,F,,,,
2.72,0,F,,,,
2.73,0,F,,,,
2.74,0,F,,,,
2.75,0,F,,,,
2.76,0,F,,,,
2.77,0,F,,,,
2.78,0,F,,,,
2.79,0,F,,,,
2.8,0,F,,,,
2.81,0,F,,,,
2.82,0,F,,,,
2.83,0,F,,,,
2.84,0,F,,,,
2.85,0,F,,,,
2.86,0,F,,,,
2.87,0,F,,,,
2.88,0,F,,,,
2.89,0,F,,,,
2.9,0,F,,,,
2.91,0,F,,,,
2.92,0,F,,,,
2.93,0,F,,,,
2.94,0,F,,,,
2.95,0,F,,,,
2.96,0,F,,,,
2.97,0,F,,,,
2.98,0,F,,,,
2.99,0,F,,,,
3,0,F,,,,
3.01,0,F,,,,
3.02,0,F,,,,
3.03,0,F,,,,
3.04,0,F,,,,
3.05,0,F,,,,
3.06,0,F,,,,
3.07,0,F,,,,
3.08,0,F,,,,
3.09,0,F,,,,
3.1,0,F,,,,
3.11,0,F,,,,
3.12,0,F,,,,
3.13,0,F,,,,
3.14,0,F,,,,
3.15,0,F,,,,
3.16,0,F,,,,
3.17,0,F,,,,
3.18,0,F,,,,
3.19,0,F,,,,
3.2,0,F,,,,
3.21,0,F,,,,
3.22,0,F,,,,
3.23,0,F,,,,
3.24,0,F,,,,
3.25,0,F,,,,
3.26,0,F,,,,
3.27,0,F,,,,
3.28,0,F,,,,
3.29,0,F,,,,
3.3,0,F,,,,
3.31,0,F,,,,
3.32,0,F,,,,
3.33,0,F,,,,
3.34,0,F,,,,
3.35,0,F,,,,
3.36,0,F,,,,
3.37,0,F,,,,
3.38,0,F,,,,
3.39,0,F,,,,
3.4,0,F,,,,
3.41,0,F,,,,
3.42,0,F,,,,
3.43,0,F,,,,
3.44,0,F,,,,
3.45,0,F,,,,
3.46,0,F,,,,
3.47,0,F,,,,
3.48,0,F,,,,
3.49,0,F,,,,
3.5,0,F,,,,
3.51,0,F,,,,
3.52,0,F,,,,
3.53,0,F,,,,
3.54,0,F,,,,
3.55,0,F,,,,
3.56,0,F,,,,
3.57,0,F,,,,
3.58,0,F,,,,
3.59,0,F,,,,
3.6,0,F,,,,
3.61,0,F,,,,
3.62,0,F,,,,
3.63,0,F,,,,
3.64,0,F,,,,
3.65,0,F,,,,
3.66,0,F,,,,
3.67,0,F,,,,
3.68,0,F,,,,
3.69,0,F,,,,
3.7,0,F,,,,
3.71,0,F,,,,
3.72,0,F,,,,
3.73,0,F,,,,
3.74,0,F,,,,
3.75,0,F,,,,
3.76,0,F,,,,
3.77,0,F,,,,
3.78,0,F,,,,
3.79,0,F,,,,
3.8,0,F,,,,
3.81,0,F,,,,
3.82,0,F,,,,
3.83,0,F,,,,
3.84,0,F,,,,
3.85,0,F,,,,
3.86,0,F,,,,
3.87,0,F,,,,
3.88,0,F,,,,
3.89,0,F,,,,
3.9,0,F,,,,
3.91,0,F,,,,
3.92,0,F,,,,
3.93,0,F,,,,
3.94,0,F,,,,
3.95,0,F,,,,
3.96,0,F,,,,
3.97,0,F,,,,
3.98,0,F,,,,
3.99,0,F,,,,
4,0,F,,,,
4.01,0,F,,,,
4.02,0,F,,,,
4.03,0,F,,,,
4.04,0,F,,,,
4.05,0,F,,,,
4.06,0,F,,,,
4.07,0,F,,,,
4.08,0,F,,,,
4.09,0,F,,,,
4.1,0,F,,,,
4.11,0,F,,,,
4.12,0,F,,,,
4.13,0,F,,,,
4.14,0,F,,,,
4.15,0,F,,,,
4.16,0,F,,,,
4.17,0,F,,,,
4.18,0,F,,,,
4.19,0,F,,,,
4.2,0,F,,,,
4.21,0,F,,,,
4.22,0,F,,,,
4.23,0,F,,,,
4.24,0,F,,,,
4.25,0,F,,,,
4.26,0,F,,,,
4.27,0,F,,,,
4.28,0,F,,,,
4.29,0,F,,,,
4.3,0,F,,,,
4.31,0,F,,,,
4.32,0,F,,,,
4.33,0,F,,,,
4.34,0,F,,,,
4.35,0,F,,,,
4.36,0,F,,,,
4.37,0,F,,,,
4.38,0,F,,,,
4.39,0,F,,,,
4.4,0,F,,,,
4.41,0,F,,,,
4.42,0,F,,,,
4.43,0,F,,,,
4.44,0,F,,,,
4.45,0,F,,,,
4.46,0,F,,,,
4.47,0,F,,,,
4.48,0,F,,,,
4.49,0,F,,,,
4.5,0,F,,,,
4.51,0,F,,,,
4.52,0,F,,,,
4.53,0,F,,,,
4.54,0,F,,,,
4.55,0,F,,,,
4.56,0,F,,,,
4.57,0,F,,,,
4.58,0,F,,,,
4.59,0,F,,,,
4.6,0,F,,,,
4.61,0,F,,,,
4.62,0,F,,,,
4.63,0,F,,,,
4.64,0,F,,,,
4.65,0,F,,,,
4.66,0,F,,,,
4.67,0,F,,,,
4.68,0,F,,,,
4.69,0,F,,,,
4.7,0,F,,,,
4.71,0,F,,,,
4.72,0,F,,,,
4.73,0,F,,,,
4.74,0,F,,,,
4.75,0,F,,,,
4.76,0,F,,,,
4.77,0,F,,,,
4.78,0,F,,,,
4.79,0,F,,,,
4.8,0,F,,,,
4.81,0,F,,,,
4.82,0,F,,,,
4.83,0,F,,,,
4.84,0,F,,,,
4.85,0,F,,,,
4.86,0,F,,,,
4.87,0,F,,,,
4.88,0,F,,,,
4.89,0,F,,,,
4.9,0,F,,,,
4.91,0,F,,,,
4.92,0,F,,,,
4.93,0,F,,,,
4.94,0,F,,,,
4.95,0,F,,,,
4.96,0,F,,,,
4.97,0,F,,,,
4.98,0,F,,,,
4.99,0,F,,,,
5,0,F,,,,
5.01,0,F,,,,
5.02,0,F,,,,
5.03,0,F,,,,
5.04,0,F,,,,
5.05,0,F,,,,
5.06,0,F,,,,
5.07,0,F,,,,
5.08,0,F,,,,
5.09,0,F,,,,
5.1,0,F,,,,
5.11,0,F,,,,
5.12,0,F,,,,
5.13,0,F,,,,
5.14,0,F,,,,
5.15,0,F,,,,
5.16,0,F,,,,
5.17,0,F,,,,
5.18,0,F,,,,
5.19,0,F,,,,
5.2,0,F,,,,
5.21,0,F,,,,
5.22,0,F,,,,
5.23,0,F,,,,
5.24,0,F,,,,
5.25,0,F,,,,
5.26,0,F,,,,
5.27,0,F,,,,
5.28,0,F,,,,
5.29,0,F,,,,
5.3,0,F,,,,
5.31,0,F,,,,
5.32,0,F,,,,
5.33,0,F,,,,
5.34,0,F,,,,
5.35,0,F,,,,
5.36,0,F,,,,
5.37,0,F,,,,
5.38,0,F,,,,
5.39,0,F,,,,
5.4,0,F,,,,
5.41,0,F,,,,
5.42,0,F,,,,
5.43,0,F,,,,
5.44,0,F,,,,
5.45,0,F,,,,
5.46,0,F,,,,
5.47,0,F,,,,
5.48,0,F,,,,
5.49,0,F,,,,
5.5,0,F,,,,
5.51,0,F,,,,
5.52,0,F,,,,
5.53,0,F,,,,
5.54,0,F,,,,
5.55,0,F,,,,
5.56,0,F,,,,
5.57,0,F,,,,
5.58,0,F,,,,
5.59,0,F,,,,
5.6,0,F,,,,
5.61,0,F,,,,
5.62,0,F,,,,
5.63,0,F,,,,
5.64,0,F,,,,
5.65,0,F,,,,
5.66,0,F,,,,
5.67,0,F,,,,
5.68,0,F,,,,
5.69,0,F,,,,
5.7,0,F,,,,
5.71,0,F,,,,
5.72,0,F,,,,
5.73,0,F,,,,
5.74,0,F,,,,
5.75,0,F,,,,
5.76,0,F,,,,
5.77,0,F,,,,
5.78,0,F,,,,
5.79,0,F,,,,
5.8,0,F,,,,
5.81,0,F,,,,
5.82,0,F,,,,
5.83,0,F,,,,
5.84,0,F,,,,
5.85,0,F,,,,
5.86,0,F,,,,
5.87,0,F,,,,
5.88,0,F,,,,
5.89,0,F,,,,
5.9,0,F,,,,
5.91,0,F,,,,
5.92,0,F,,,,
5.93,0,F,,,,
5.94,0,F,,,,
5.95,0,F,,,,
5.96,0,F,,,,
5.97,0,F,,,,
5.98,0,F,,,,
5.99,0,F,,,,
6,0,F,,,,
6.01,0,F,,,,
6.02,0,F,,,,
6.03,0,F,,,,
6.04,0,F,,,,
6.05,0,F,,,,
6.06,0,F,,,,
6.07,0,F,,,,
6.08,0,F,,,,
6.09,0,F,,,,
6.1,0,F,,,,
6.11,0,F,,,,
6.12,0,F,,,,
6.13,0,F,,,,
6.14,0,F,,,,
6.15,0,F,,,,
6.16,0,F,,,,
6.17,0,F,,,,
6.18,0,F,,,,
6.19,0,F,,,,
6.2,0,F,,,,
6.21,0,F,,,,
6.22,0,F,,,,
6.23,0,F,,,,
6.24,0,F,,,,
6.25,0,F,,,,
6.26,0,F,,,,
6.27,0,F,,,,
6.28,0,F,,,,
6.29,0,F,,,,
6.3,0,F,,,,
6.31,0,F,,,,
6.32,0,F,,,,
6.33,0,F,,,,
6.34,0,F,,,,
6.35,0,F,,,,
6.36,0,F,,,,
6.37,0,F,,,,
6.38,0,F,,,,
6.39,0,F,,,,
6.4,0,F,,,,
6.41,0,F,,,,
6.42,0,F,,,,
6.43,0,F,,,,
6.44,0,F,,,,
6.45,0,F,,,,
6.46,0,F,,,,
6.47,0,F,,,,
6.48,0,F,,,,
6.49,0,F,,,,
6.5,0,F,,,,
6.51,0,F,,,,
6.52,0,F,,,,
6.53,0,F,,,,
6.54,0,F,,,,
6.55,0,F,,,,
6.56,0,F,,,,
6.57,0,F,,,,
6.58,0,F,,,,
6.59,0,F,,,,
6.6,0,F,,,,
6.61,0,F,,,,
6.62,0,F,,,,
6.63,0,F,,,,
6.64,0,F,,,,
6.65,0,F,,,,
6.66,0,F,,,,
6.67,0,F,,,,
6.68,0,F,,,,
6.69,0,F,,,,
6.7,0,F,,,,
6.71,0,F,,,,
6.72,0,F,,,,
6.73,0,F,,,,
6.74,0,F,,,,
6.75,0,F,,,,
6.76,0,F,,,,
6.77,0,F,,,,
6.78,0,F,,,,
6.79,0,F,,,,
6.8,0,F,,,,
6.81,0,F,,,,
6.82,0,F,,,,
6.83,0,F,,,,
6.84,0,F,,,,
6.85,0,F,,,,
6.86,0,F,,,,
6.87,0,F,,,,
6.88,0,F,,,,
6.89,0,F,,,,
6.9,0,F,,,,
6.91,0,F,,,,
6.92,0,F,,,,
6.93,0,F,,,,
6.94,0,F,,,,
6.95,0,F,,,,
6.96,0,F,,,,
6.97,0,F,,,,
6.98,0,F,,,,
6.99,0,F,,,,
7,0,F,,,,
7.01,0,F,,,,
7.02,0,F,,,,
7.03,0,F,,,,
7.04,0,F,,,,
7.05,0,F,,,,
7.06,0,F,,,,
7.07,0,F,,,,
7.08,0,F,,,,
7.09,0,F,,,,
7.1,0,F,,,,
7.11,0,F,,,,
7.12,0,F,,,,
7.13,0,F,,,,
7.14,0,F,,,,
7.15,0,F,,,,
7.16,0,F,,,,
7.17,0,F,,,,
7.18,0,F,,,,
7.19,0,F,,,,
7.2,0,F,,,,
7.21,0,F,,,,
7.22,0,F,,,,
7.23,0,F,,,,
7.24,0,F,,,,
7.25,0,F,,,,
7.26,0,F,,,,
7.27,0,F,,,,
7.28,0,F,,,,
7.29,0,F,,,,
7.3,0,F,,,,
7.31,0,F,,,,
7.32,0,F,,,,
7.33,0,F,,,,
7.34,0,F,,,,
7.35,0,F,,,,
7.36,0,F,,,,
7.37,0,F,,,,
7.38,0,F,,,,
7.39,0,F,,,,
7.4,0,F,,,,
7.41,0,F,,,,
7.42,0,F,,,,
7.43,0,F,,,,
7.44,0,F,,,,
7.45,0,F,,,,
7.46,0,F,,,,
7.47,0,F,,,,
7.48,0,F,,,,
7.49,0,F,,,,
7.5,0,F,,,,
7.51,0,F,,,,
7.52,0,F,,,,
7.53,0,F,,,,
7.54,0,F,,,,
7.55,0,F,,,,
7.56,0,F,,,,
7.57,0,F,,,,
7.58,0,F,,,,
7.59,0,F,,,,
7.6,0,F,,,,
7.61,0,F,,,,
7.62,0,F,,,,
7.63,0,F,,,,
7.64,0,F,,,,
7.65,0,F,,,,
7.66,0,F,,,,
7.67,0,F,,,,
7.68,0,F,,,,
7.69,0,F,,,,
7.7,0,F,,,,
7.71,0,F,,,,
7.72,0,F,,,,
7.73,0,F,,,,
7.74,0,F,,,,
7.75,0,F,,,,
7.76,0,F,,,,
7.77,0,F,,,,
7.78,0,F,,,,
7.79,0,F,,,,
7.8,0,F,,,,
7.81,0,F,,,,
7.82,0,F,,,,
7.83,0,F,,,,
7.84,0,F,,,,
7.85,0,F,,,,
7.86,0,F,,,,
7.87,0,F,,,,
7.88,0,F,,,,
7.89,0,F,,,,
7.9,0,F,,,,
7.91,0,F,,,,
7.92,0,F,,,,
7.93,0,F,,,,
7.94,0,F,,,,
7.95,0,F,,,,
7.96,0,F,,,,
7.97,0,F,,,,
7.98,0,F,,,,
7.99,0,F,,,,
8,0,F,,,,
8.01,0,F,,,,
8.02,0,F,,,,
8.03,0,F,,,,
8.04,0,F,,,,
8.05,0,F,,,,
8.06,0,F,,,,
8.07,0,F,,,,
8.08,0,F,,,,
8.09,0,F,,,,
8.1,0,F,,,,
8.11,0,F,,,,
8.12,0,F,,,,
8.13,0,F,,,,
8.14,0,F,,,,
8.15,0,F,,,,
8.16,0,F,,,,
8.17,0,F,,,,
8.18,0,F,,,,
8.19,0,F,,,,
8.2,0,F,,,,
8.21,0,F,,,,
8.22,0,F,,,,
8.23,0,F,,,,
8.24,0,F,,,,
8.25,0,F,,,,
8.26,0,F,,,,
8.27,0,F,,,,
8.28,0,F,,,,
8.29,0,F,,,,
8.3,0,F,,,,
8.31,0,F,,,,
8.32,0,F,,,,
8.33,0,F,,,,
8.34,0,F,,,,
8.35,0,F,,,,
8.36,0,F,,,,
8.37,0,F,,,,
8.38,0,F,,,,
8.39,0,F,,,,
8.4,0,F,,,,
8.41,0,F,,,,
8.42,0,F,,,,
8.43,0,F,,,,
8.44,0,F,,,,
8.45,0,F,,,,
8.46,0,F,,,,
8.47,0,F,,,,
8.48,0,F,,,,
8.49,0,F,,,,
8.5,0,F,,,,
8.51,0,F,,,,
8.52,0,F,,,,
8.53,0,F,,,,
8.54,0,F,,,,
8.55,0,F,,,,
8.56,0,F,,,,
8.57,0,F,,,,
8.58,0,F,,,,
8.59,0,F,,,,
8.6,0,F,,,,
8.61,0,F,,,,
8.62,0,F,,,,
8.63,0,F,,,,
8.64,0,F,,,,
8.65,0,F,,,,
8.66,0,F,,,,
8.67,0,F,,,,
8.68,0,F,,,,
8.69,0,F,,,,
8.7,0,F,,,,
8.71,0,F,,,,
8.72,0,F,,,,
8.73,0,F,,,,
8.74,0,F,,,,
8.75,0,F,,,,
8.76,0,F,,,,
8.77,0,F,,,,
8.78,0,F,,,,
8.79,0,F,,,,
8.8,0,F,,,,
8.81,0,F,,,,
8.82,0,F,,,,
8.83,0,F,,,,
8.84,0,F,,,,
8.85,0,F,,,,
8.86,0,F,,,,
8.87,0,F,,,,
8.88,0,F,,,,
8.89,0,F,,,,
8.9,0,F,,,,
8.91,0,F,,,,
8.92,0,F,,,,
8.93,0,F,,,,
8.94,0,F,,,,
8.95,0,F,,,,
8.96,0,F,,,,
8.97,0,F,,,,
8.98,0,F,,,,
8.99,0,F,,,,
9,0,F,,,,
9.01,0,F,,,,
9.02,0,F,,,,
9.03,0,F,,,,
9.04,0,F,,,,
9.05,0,F,,,,
9.06,0,F,,,,
9.07,0,F,,,,
9.08,0,F,,,,
9.09,0,F,,,,
9.1,0,F,,,,
9.11,0,F,,,,
9.12,0,F,,,,
9.13,0,F,,,,
9.14,0,F,,,,
9.15,0,F,,,,
9.16,0,F,,,,
9.17,0,F,,,,
9.18,0,F,,,,
9.19,0,F,,,,
9.2,0,F,,,,
9.21,0,F,,,,
9.22,0,F,,,,
9.23,0,F,,,,
9.24,0,F,,,,
9.25,0,F,,,,
9.26,0,F,,,,
9.27,0,F,,,,
9.28,0,F,,,,
9.29,0,F,,,,
9.3,0,F,,,,
9.31,0,F,,,,
9.32,0,F,,,,
9.33,0,F,,,,
9.34,0,F,,,,
9.35,0,F,,,,
9.36,0,F,,,,
9.37,0,F,,,,
9.38,0,F,,,,
9.39,0,F,,,,
9.4,0,F,,,,
9.41,0,F,,,,
9.42,0,F,,,,
9.43,0,F,,,,
9.44,0,F,,,,
9.45,0,F,,,,
9.46,0,F,,,,
9.47,0,F,,,,
9.48,0,F,,,,
9.49,0,F,,,,
9.5,0,F,,,,
9.51,0,F,,,,
9.52,0,F,,,,
9.53,0,F,,,,
9.54,0,F,,,,
9.55,0,F,,,,
9.56,0,F,,,,
9.57,0,F,,,,
9.58,0,F,,,,
9.59,0,F,,,,
9.6,0,F,,,,
9.61,0,F,,,,
9.62,0,F,,,,
9.63,0,F,,,,
9.64,0,F,,,,
9.65,0,F,,,,
9.66,0,F,,,,
9.67,0,F,,,,
9.68,0,F,,,,
9.69,0,F,,,,
9.7,0,F,,,,
9.71,0,F,,,,
9.72,0,F,,,,
9.73,0,F,,,,
9.74,0,F,,,,
9.75,0,F,,,,
9.76,0,F,,,,
9.77,0,F,,,,
9.78,0,F,,,,
9.79,0,F,,,,
9.8,0,F,,,,
9.81,0,F,,,,
9.82,0,F,,,,
9.83,0,F,,,,
9.84,0,F,,,,
9.85,0,F,,,,
9.86,0,F,,,,
9.87,0,F,,,,
9.88,0,F,,,,
9.89,0,F,,,,
9.9,0,F,,,,
9.91,0,F,,,,
9.92,0,F,,,,
9.93,0,F,,,,
9.94,0,F,,,,
9.95,0,F,,,,
9.96,0,F,,,,
9.97,0,F,,,,
9.98,0,F,,,,
9.99,0,F,,,,
10,0,F,,,,
10.01,0,F,,,,
10.02,0,F,,,,
10.03,0,F,,,,
10.04,0,F,,,,
10.05,0,F,,,,
10.06,0,F,,,,
10.07,0,F,,,,
10.08,0,F,,,,
10.09,0,F,,,,
10.1,0,F,,,,
10.11,0,F,,,,
10.12,0,F,,,,
10.13,0,F,,,,
10.14,0,F,,,,
10.15,0,F,,,,
10.16,0,F,,,,
10.17,0,F,,,,
10.18,0,F,,,,
10.19,0,F,,,,
10.2,0,F,,,,
10.21,0,F,,,,
10.22,0,F,,,,
10.23,0,F,,,,
10.24,0,F,,,,
10.25,0,F,,,,
10.26,0,F,,,,
10.27,0,F,,,,
10.28,0,F,,,,
10.29,0,F,,,,
10.3,0,F,,,,
10.31,0,F,,,,
10.32,0,F,,,,
10.33,0,F,,,,
10.34,0,F,,,,
10.35,0,F,,,,
10.36,0,F,,,,
10.37,0,F,,,,
10.38,0,F,,,,
10.39,0,F,,,,
10.4,0,F,,,,
10.41,0,F,,,,
10.42,0,F,,,,
10.43,0,F,,,,
10.44,0,F,,,,
10.45,0,F,,,,
10.46,0,F,,,,
10.47,0,F,,,,
10.48,0,F,,,,
10.49,0,F,,,,
10.5,0,F,,,,
10.51,0,F,,,,
10.52,0,F,,,,
10.53,0,F,,,,
10.54,0,F,,,,
10.55,0,F,,,,
10.56,0,F,,,,
10.57,0,F,,,,
10.58,0,F,,,,
10.59,0,F,,,,
10.6,0,F,,,,
10.61,0,F,,,,
10.62,0,F,,,,
10.63,0,F,,,,
10.64,0,F,,,,
10.65,0,F,,,,
10.66,0,F,,,,
10.67,0,F,,,,
10.68,0,F,,,,
10.69,0,F,,,,
10.7,0,F,,,,
10.71,0,F,,,,
10.72,0,F,,,,
10.73,0,F,,,,
10.74,0,F,,,,
10.75,0,F,,,,
10.76,0,F,,,,
10.77,0,F,,,,
10.78,0,F,,,,
10.79,0,F,,,,
10.8,0,F,,,,
10.81,0,F,,,,
10.82,0,F,,,,
10.83,0,F,,,,
10.84,0,F,,,,
10.85,0,F,,,,
10.86,0,F,,,,
10.87,0,F,,,,
10.88,0,F,,,,
10.89,0,F,,,,
10.9,0,F,,,,
10.91,0,F,,,,
10.92,0,F,,,,
10.93,0,F,,,,
10.94,0,F,,,,
10.95,0,F,,,,
10.96,0,F,,,,
10.97,0,F,,,,
10.98,0,F,,,,
10.99,0,F,,,,
11,0,F,,,,
11.01,0,F,,,,
11.02,0,F,,,,
11.03,0,F,,,,
11.04,0,F,,,,
11.05,0,F,,,,
11.06,0,F,,,,
11.07,0,F,,,,
11.08,0,F,,,,
11.09,0,F,,,,
11.1,0,F,,,,
11.11,0,F,,,,
11.12,0,F,,,,
11.13,0,F,,,,
11.14,0,F,,,,
11.15,0,F,,,,
11.16,0,F,,,,
11.17,0,F,,,,
11.18,0,F,,,,
11.19,0,F,,,,
11.2,0,F,,,,
11.21,0,F,,,,
11.22,0,F,,,,
11.23,0,F,,,,
11.24,0,F,,,,
11.25,0,F,,,,
11.26,0,F,,,,
11.27,0,F,,,,
11.28,0,F,,,,
11.29,0,F,,,,
11.3,0,F,,,,
11.31,0,F,,,,
11.32,0,F,,,,
11.33,0,F,,,,
11.34,0,F,,,,
11.35,0,F,,,,
11.36,0,F,,,,
11.37,0,F,,,,
11.38,0,F,,,,
11.39,0,F,,,,
11.4,0,F,,,,
11.41,0,F,,,,
11.42,0,F,,,,
11.43,0,F,,,,
11.44,0,F,,,,
11.45,0,F,,,,
11.46,0,F,,,,
11.47,0,F,,,,
11.48,0,F,,,,
11.49,0,F,,,,
11.5,0,F,,,,
11.51,0,F,,,,
11.52,0,F,,,,
11.53,0,F,,,,
11.54,0,F,,,,
11.55,0,F,,,,
11.56,0,F,,,,
11.57,0,F,,,,
11.58,0,F,,,,
11.59,0,F,,,,
11.6,0,F,,,,
11.61,0,F,,,,
11.62,0,F,,,,
11.63,0,F,,,,
11.64,0,F,,,,
